Secció;Pregunta;Resposta Correcta;Resposta Incorrecta 1;Resposta Incorrecta 2;Resposta Incorrecta 3
Història i Evolució Institucional;Què va abolir específicament el Decret de Nova Planta de Catalunya de 1716?;El sistema constitucional català i les seves institucions pròpies com la Generalitat i el Consell de Cent.;L'ús de la llengua catalana en l'àmbit privat i familiar.;La vigència i aplicació del Dret Civil Català històric.;Els títols de noblesa tradicionals dels comtats catalans.
Història i Evolució Institucional;Qui va ser el primer president de la Mancomunitat de Catalunya, fundada l'any 1914?;Enric Prat de la Riba;Josep Puig i Cadafalch;Francesc Cambó;Francesc Macià
Història i Evolució Institucional;Quina era la principal atribució i funció de les Corts Catalanes medievals davant del monarca?;L'aprovació de lleis i el control fiscal de la corona basat en el principi del pactisme.;La facultat de triar directament per sufragi l'hereu al tron de la corona.;La capacitat de declarar la guerra a potències estrangeres sense autorització reial.;L'exclusió absoluta de l'estament eclesiàstic en les preses de decisions fiscals.
Història i Evolució Institucional;En quin context històric i any es va fundar la Diputació del General (origen de la Generalitat) com a institució permanent?;A les Corts de Cervera de 1359, per recaptar l'impost de les generalitats.;A les Corts de Montsó de 1289, com a representació nobiliària fixa.;Al Casp de 1412, per organitzar la transició de la dinastia Trastàmara.;A les Corts de Barcelona de 1481, amb la promulgació de la Constitució de l'Observança.
Història i Evolució Institucional;Quin personatge històric eclesiàstic va ser el principal impulsor de les assemblees de Pau i Treva de Déu al segle XI?;L'Abat Oliba;El Bisbe Feliu d'Urgell;Sant Ramon de Penyafort;L'Abat Biure de Sant Cugat
Geografia Física i Territorial;Quin és el riu més llarg que neix i mor íntegrament dins de les fronteres de Catalunya?;El Ter;El Segre;El Llobregat;El Fluvià
Geografia Física i Territorial;Quina de les següents comarques forma part de la Vegueria del Penedès segons l'actual regulació territorial?;L'Anoia;El Baix Camp;Osona;El Bages
Geografia Física i Territorial;Quin és l'estany d'origen tectònic i càrstic més gran de tot Catalunya?;L'Estany de Banyoles;L'Estany de Sant Maurici;L'Estany d'Ivars i Vila-sana;L'Estany de Certascan
Geografia Física i Territorial;Quina comarca o territori català es troba majoritàriament al vessant nord dels Pirineus i pertany a una conca atlàntica?;La Vall d'Aran;L'Alta Ribagorça;La Cerdanya;El Pallars Sobirà
Geografia Física i Territorial;Quin d'aquests massissos forma part de la Serralada Transversal catalana?;El massís de Collsacabra;La serra del Cadí;El massís del Montseny;La serra de Montserrat
Institucions i Marc Polític;Quants diputats componen actualment el Parlament de Catalunya segons la distribució territorial per províncies?;135;150;120;140
Institucions i Marc Polític;Quina majoria parlamentària es requereix com a mínim per a l'elecció del Síndic de Greuges de Catalunya?;Una majoria de tres cinquenes parts (3/5) dels diputats.;Una majoria absoluta simple de la meitat més un dels diputats.;Una majoria qualificada de dues terceres parts (2/3) dels diputats.;Una majoria simple dels diputats presents a la sessió de votació.
Institucions i Marc Polític;Quina és la funció bàsica i principal del Consell de Garanties Estatutàries de Catalunya?;Dictaminar sobre l'adequació dels projectes de llei a l'Estatut i a la Constitució.;Fiscalitzar els comptes públics i l'execució pressupostària de la Generalitat.;Actuar com a tribunal d'última instància per a delictes dels membres del Govern.;Coordinar el repartiment competencial entre els Mossos i les policies locals.
Institucions i Marc Polític;Quina circumscripció electoral té assignat el menor nombre d'escons (15 escons) en les eleccions al Parlament de Catalunya?;Lleida;Girona;Tarragona;Terres de l'Ebre
Institucions i Marc Polític;Quina de les següents matèries és una competència exclusiva de la Generalitat fixada pel text de l'Estatut d'Autonomia?;L'organització territorial pròpia i el dret civil català.;El règim econòmic i la gestió financera de la Seguretat Social.;El control operacional de l'Aeroport Josep Tarradellas Barcelona-El Prat.;La legislació mercantil i la regulació bàsica de la propietat intel·lectual.
Llengua i Literatura Acadèmica;En quin document i amb quin any va publicar Pompeu Fabra les primeres 'Normes ortogràfiques' oficials de l'Institut d'Estudis Catalans?;1913;1918;1906;1932
Llengua i Literatura Acadèmica;Quina d'aquestes conegudes cròniques històriques forma part de les anomenades 'Quatre grans cròniques' medievals?;La Crònica de Ramon Muntaner;El llibre de Cavalleria del Tirant lo Blanc;El diari de viatges de Curial e Güelfa;L'obra al·legòrica de Lo Somni de Bernat Metge
Llengua i Literatura Acadèmica;Quin d'aquests subdialectes o varietats lingüístiques s'enquadra dins del bloc del català occidental?;El català ribagorçà;El català rossellonès;El català balear;El català central
Llengua i Literatura Acadèmica;Quin conegut poema de Bonaventura Carles Aribau (1833) es considera històricament l'inici de la Renaixença?;Oda a la Pàtria;L'Atlàntida;Canigó;Els Segadors
Llengua i Literatura Acadèmica;Quina de les següents paraules conserva l'accent diacrític després de la darrera reforma de l'IEC de l'any 2016?;Sòl;Nét;Ós;Dona
Dret Civil Català i Societat;Quin règim econòmic matrimonial s'aplica per defecte a Catalunya si no s'han atorgat capítols matrimonials?;Separació de béns;Societat de ganancials o de béns de guany;Comunitat universal de béns relictes;Règim mixt de participació en els guanys
Dret Civil Català i Societat;En una herència regida pel dret civil català, quin és el percentatge equivalent al dret de llegítima dels fills?;El 25% (una quarta part del valor líquid de l'herència);El 33,3% (una tercera part de la massa hereditària);El 50% (la meitat dels béns de la successió);El 20% (una cinquena part de l'actiu del causant)
Dret Civil Català i Societat;Què significa la figura històrica i jurídica de la 'quarta trebel·liànica' regulada en el dret de successions català?;El dret de l'hereu fiduciari de quedar-se una quarta part lliure del patrimoni fideïcomès.;La taxa impositiva específica de la Generalitat aplicable a herències d'oncles a nebots.;La quota forçosa assignada per llei als fills desheretats per causes d'indignitat.;El dret del cònjuge vidu a rebre la quarta part de l'habitatge de propietat compartida.
Dret Civil Català i Societat;Quants llibres conformen completament l'estructura actual unificada del Codi Civil de Catalunya?;Sis llibres;Quatre llibres;Cinc llibres;Set llibres
Dret Civil Català i Societat;Perquè es reconegui una parella estable per mer transcurs del temps a Catalunya, quant temps de convivència es requereix?;Dos anys de convivència ininterrompuda de manera contínua.;Un any sencer de cohabitació sota el mateix domicili familiar.;Tres anys d'empadronament conjunt a qualsevol municipi català.;Cinc anys de vida en comú provada formalment davant de notari.
